category,prompt,ground_truth,prediction,judge_score,judge_raw,f1_score,substring_accuracy
movies,autor de El beso de la mujer araña es,Manuel Puig,"El autor de ""El beso de la mujer araña"" es Jean Rhys.",0,"{""score"": 0}",0.0,0
movies,título de El beso de la mujer araña es,El beso de la mujer araña,"El beso de la mujer araña es una película de 1985 dirigida por Brian De Palma, basada en la novela de 1958 ""El beso de la mujer araña"" (The Kiss of the Spider Woman) de Manuel Puig.",1,"{""score"": 1}",0.27906976744186046,1
movies,se dice que es lo mismo que de El beso de la mujer araña es,El beso de la mujer araña,"""El beso de la mujer araña"" es una novela de 1976 escrita por la escritora estadounidense Anne Rice, bajo el seudónimo de A.N. Roquelaure. La novela es una historia de romance y fantasía que sigue a un joven llamado Jean Lestat, un vampiro que se enamora de una joven llamada Kirsten.

Sin embargo, si te refieres a una obra que es similar a ""El beso de la mujer araña"" en términos de género o estilo, podrías estar pensando en otras novelas de fantasía o romance que comparten elementos similares. Algunas posibles opciones podrían ser:

* ""La sombra del ciprés"" (The Shadow of the Cypress) de Barbara Michaels: Una novela de fantasía y romance que sigue a una joven que descubre un misterio relacionado con un viejo castillo y",0,"{""score"": 0}",0.09022556390977444,1
movies,obra derivada de El beso de la mujer araña es,El beso de la mujer araña,"La obra ""El beso de la mujer araña"" es una novela del escritor español Manuel Vázquez Montalbán, publicada en 1976. Una obra derivada de esta novela es la película ""La mujer de barro"" (1989), dirigida por Eloy de la Iglesia, pero más conocida es la película ""La mujer de barro"" (1989) fue una adaptación de la novela pero más conocida es la película ""La mujer de barro"" (1989)  pero más conocida es la película ""La mujer de barro"" (1989) fue una adaptación de la novela pero más conocida es la película ""El beso de la mujer araña"" (1989)  dirigida por Eloy de la Iglesia.

Sin embargo, la obra derivada más conocida es la película ""El beso de la mujer araña"" (1989) dirigida",0,"{""score"": 0}",0.09375,1
movies,miembro del reparto de El beso de la mujer araña es,Tonatiuh Elizarraraz,"El beso de la mujer araña es una película de 2002 dirigida por Sam Raimi, y su reparto principal incluye a:

- Tobey Maguire como Peter Parker / El Hombre Araña
- Kirsten Dunst como Mary Jane Watson
- Willem Dafoe como Norman Osborn / El Duende Verde
- Cliff Robertson como Ben Parker
- Rosemary Harris como May Parker
- J.K. Simmons como J. Jonah Jameson

Sin embargo, no mencionaste a un personaje en específico, ¿Podrías proporcionar más información sobre a quién te refieres?",0,"{""score"": 0}",0.0,0
movies,basado en de El beso de la mujer araña es,El beso de la mujer araña,"""El beso de la mujer araña"" es una novela de Stephen King publicada en 1983. ¿En qué puedo ayudarte? ¿Quieres saber más sobre la trama, los personajes o algo en particular sobre la novela?",0,"{""score"": 0}",0.3,1
movies,"título de 31 minutos, la película es","31 minutos, la película","""31 minutos: La película""",1,"{""score"": 1}",1.0,1
movies,"guionista de 31 minutos, la película es",Álvaro Díaz,"No tengo suficiente información para determinar la película específica de ""31 minutos"" que estás buscando. ""31 minutos"" es un nombre bastante genérico y podría referirse a varias películas o producciones animadas. Sin embargo, una de las producciones más conocidas con este nombre es una serie de televisión chilena de animación para niños, creada por César Brie y Juan José Campanella, que se estrenó en 2009.

Si estás buscando una película específica de ""31 minutos"", podrías proporcionarme más detalles o contexto para que pueda ayudarte mejor. ¿Podrías proporcionar más información sobre la película, como su título, el año de estreno o algún personaje principal?",0,"{""score"": 0}",0.0,0
movies,"guionista de 31 minutos, la película es",Rodrigo Salinas (dibujante),"""Los Aventuras de Zip y Zap""",0,"{""score"": 0}",0.0,0
movies,"calificación del ICAA de 31 minutos, la película es",apta para todos los públicos,"La película ""31 minutos"" es una serie de televisión de animación chilena creada por Cachito Maldera, Álvaro Díaz y Carlos Villagrán. La serie sigue las aventuras de un grupo de amigos llamados los 31 minutos, un grupo de niños que son los principales personajes de la serie.

La serie originalmente fue una película de 1997, pero luego se convirtió en una serie de televisión que se estrenó en 2001 y se mantuvo en emisión hasta 2013. La serie fue muy popular en Chile y otros países de América Latina.

La calificación del ICAA (Instituto de la Cinematografía y de las Artes Audiovisuales) para la película ""31 minutos"" es APT (Apto para todos), lo que significa que la película es adecuada para todas las edades y no contiene contenido inapropiado para menores de edad.",1,"{""score"": 1}",0.04347826086956521,0
movies,"logotipo de 31 minutos, la película es","31 minutos, la película logo vector.svg","El logotipo de la serie de televisión ""31 minutos"" es un elefante con gafas y una boina roja.",0,"{""score"": 0}",0.25,0
movies,miembro del reparto de Hermanas es,Horacio Peña,"No puedo determinar qué ""Hermanas"" estás refiriéndote. ¿Puedes proporcionar más contexto o información sobre qué tipo de ""Hermanas"" estás buscando?",0,"{""score"": 0}",0.0,0
movies,miembro del reparto de Hermanas es,Héctor Alterio,"No tengo suficiente información para responder a tu pregunta. Puedes proporcionar más contexto o detalles sobre ""Hermanas"" a la que te refieres? ¿Es una serie de televisión, un libro, un grupo musical, etc.?",0,"{""score"": 0}",0.0,0
movies,miembro del reparto de Hermanas es,Mercedes Morán,No tengo suficiente información sobre el reparto de Hermanas. ¿Podrías proporcionar más contexto o detalles sobre la obra o serie que te refieres?,0,"{""score"": 0}",0.0,0
movies,situado en la entidad territorial administrativa de Federal es,Departamento Federal,"No tengo suficiente información para determinar exactamente qué entidad territorial administrativa de México se te refiere con ""Federal"". Hay varias entidades federativas en México con ese nombre, como:

- Ciudad de México (también conocida como la Ciudad de México o CDMX)
- Estado de México

Si tienes más información o contexto sobre a qué te refieres, estaré encantado de ayudarte.",0,"{""score"": 0}",0.03333333333333333,0
movies,categoría en Commons de Federal es,"Federal, Entre Ríos","La categoría en Commons de Wikipedia que se refiere a ""Federal"" es:

* Categoría:Federal (desambiguación)",0,"{""score"": 0}",0.11764705882352941,0
movies,código postal de Federal es,E3180,El código postal de Federal es 21600.,0,"{""score"": 0}",0.0,0
movies,autor de Amélia es,Roberto Payró,"O autor de ""Amélia"" é José Saramago.",0,"{""score"": 0}",0.0,0
movies,imagen de Amélia es,Novelas y fantasias-Segunda serie de Scripta- Roberto J. Payro (page 135 crop).jpg,"No tengo información sobre una persona llamada Amélia. ¿Podrías proporcionarme más contexto o detalles sobre quién es Amélia? ¿Es una persona famosa, una personaje literario, una figura histórica o alguien más? De esa manera, puedo darte una respuesta más precisa.",0,"{""score"": 0}",0.03846153846153846,0
movies,situado en la entidad territorial administrativa de Límite es,Resistencia,"No hay suficiente información para determinar a qué entidad territorial administrativa te refieres. ¿Podrías proporcionar más contexto o detalles sobre el lugar que estás buscando? ¿Es un estado, una provincia, un municipio o algo más?",0,"{""score"": 0}",0.0,0
movies,El director de Límite es,Nicolás Jullian,"No tengo información sobre un director de ""Límite"" específico. ¿Podrías proporcionar más contexto o detalles sobre el proyecto o la película que te refieres? ¿Es un título de película, una serie, un libro o algo más?",0,"{""score"": 0}",0.0,0
movies,situado en la entidad territorial administrativa de Vera es,Provincia de Santa Fe,"No puedo determinar la entidad territorial administrativa a la que te refieres, ya que hay varias localidades con el nombre de Vera en diferentes partes de España y América Latina. Sin embargo, puedo sugerirte algunas posibilidades:

* Vera (Almería): Es un municipio de la provincia de Almería, en la comunidad autónoma de Andalucía, España.
* Vera (Badajoz): Es un municipio de la provincia de Badajoz, en la comunidad autónoma de Extremadura, España.
* Vera (México): Es una localidad en el estado de Tabasco, México.
* Vera (Uruguay): Es un balneario ubicado en el departamento de Canelones, Uruguay.

Si te refieres a una de estas localidades o a otra diferente, por favor proporciona más información o contexto para que pueda ayudarte mejor.",0,"{""score"": 0}",0.03305785123966942,0
