prompt,ground_truth,prediction,region,f1_score,substring_accuracy,judge_score
Restricción de propiedad de Wikidata de número de catálogo de la Biblioteca Nacional de Chile es,restricción de tipo de entidad permitido,"incorrecta

El error que mencionas se refiere a que la",latam,0.0,0,0.0
Restricción de propiedad de Wikidata de número de catálogo de la Biblioteca Nacional de Chile es,campo de aplicación,un campo de tipo 'string' y se debe rellenar con el,latam,0.28571428571428575,0,0.0
Valor «­­afirmado en» aplicable de número de catálogo de la Biblioteca Nacional de Chile es,Catálogo Bibliográfico de la Biblioteca Nacional de Chile,el siguiente: 5501471. Este es el,latam,0.0,0,0.0
País de Santiago de Chile es,Capitanía General de Chile,el país con más cantidad de personas con discapacidad que se ha comprom,latam,0.11764705882352941,0,0.0
Categoría en Commons de Santiago de Chile es,Santiago de Chile,un proyecto del grupo de trabajo de la categoría en Commons de la Wikimedia Foundation,latam,0.1111111111111111,0,0.0
Imagen de Santiago de Chile es,Santiago en invierno.jpg,"la capital de Chile, ubicada en la Región Metropolitana",latam,0.16666666666666666,0,0.0
Situado en la entidad territorial administrativa de Santiago de Chile es,Región Metropolitana de Santiago,una comuna que se encuentra ubicada en la región Metropolitana,latam,0.28571428571428575,0,0.0
Situado en la entidad territorial administrativa de Santiago de Chile es,provincia de Santiago,el lugar más alto de la capital. Se encuentra a 556,latam,0.14285714285714288,0,0.0
Ciudad hermana de Santiago de Chile es,Santiago de Querétaro,": 

a) Mendoza

b) Córdoba

c)",latam,0.0,0,0.0
Ciudad hermana de Santiago de Chile es,Buenos Aires,"la ciudad de :
A) Toronto, Canada
B) Madrid, España",latam,0.0,0,0.0
Ciudad hermana de Santiago de Chile es,Plasencia,: ¿Cuál es la respuesta correcta?  La ciudad hermana,latam,0.0,0,0.0
Ciudad hermana de Santiago de Chile es,Ciudad de México,: ¿Cuál es la respuesta? La ciudad hermana de Santiago de,latam,0.30769230769230765,0,0.0
Categoría principal del tema de Santiago de Chile es,Categoría:Santiago de Chile,"la siguiente: ""Santiago de Chile, la capital del país, es",latam,0.30769230769230765,0,0.0
Categoría para las personas que nacieron aquí de Santiago de Chile es,Categoría:Nacidos en Santiago de Chile,"una categoría de Wikimedia que se encuentra en el estado de ""revisión pend",latam,0.2222222222222222,0,0.0
Categoría para las personas que fallecieron aquí de Santiago de Chile es,Categoría:Fallecidos en Santiago de Chile,":
A) 33
B) 18
C)",latam,0.0,0,0.0
Categoría de personas relacionadas de Santiago de Chile es,Categoría:Personas de Santiago de Chile,el nombre de una categoría de la Wikipedia en español que reúne a,latam,0.2222222222222222,0,0.0
Capital de de Santiago de Chile es,Región Metropolitana de Santiago,la capital de Chile. La capital de Chile es Santiago. La capital de,latam,0.23529411764705882,0,0.0
Capital de de Santiago de Chile es,Provincia de Santiago,"un país de América del Sur, ubicado en la costa del océ",latam,0.13333333333333333,0,0.0
Capital de de Santiago de Chile es,provincia de Santiago,la capital de Chile. La capital de Chile es Santiago de Chile. La,latam,0.25,0,0.0
Capital de de Santiago de Chile es,Departamento de Santiago,"la capital de Chile, y es una de las ciudades más importantes del",latam,0.125,0,0.0
Capital de de Santiago de Chile es,Capitanía General de Chile,"un país de América del Sur, conocido por su riqueza cultural",latam,0.13333333333333333,0,0.0
Capital de de Santiago de Chile es,Intendencia de Santiago de Chile,"la capital de Chile, y está ubicada en la Región Metropol",latam,0.25000000000000006,0,0.0
Galería en Commons de Santiago de Chile es,Santiago de Chile,una galería de fotos en la red que se encuentra en la web de,latam,0.11764705882352941,0,0.0
Imagen del escudo de armas del elemento de Santiago de Chile es,Escudo de Santiago (Chile).svg,"el escudo de armas del reino de Chile, el cual tiene",latam,0.26666666666666666,0,0.0
Vista nocturna de Santiago de Chile es,Santiago nocturno 2013.jpg,un cuadro de estilo neorrealista de 1969,latam,0.0,0,0.0
Nombre en la lengua nativa de Santiago de Chile es,Santiago de Chile,": Santiago de Chile, pero en que lengua? La lengua oficial",latam,0.4615384615384615,1,0.0
Nombre oficial de Santiago de Chile es,Santiago de Chile,":
A. Santiago de Chile
B. Santiago
C. Santiago de",latam,0.5,1,0.0
Descrito en la fuente de Santiago de Chile es,Diccionario Enciclopédico Brockhaus y Efron,"una ciudad que está ubicada en el centro del país, en el val",latam,0.0,0,0.0
Descrito en la fuente de Santiago de Chile es,Pequeño diccionario enciclopédico de Brockhaus y Efron,"una de las principales de Chile, y está ubicada en la comuna",latam,0.2105263157894737,0,0.0
Descrito en la fuente de Santiago de Chile es,Encyclopædia Britannica (11ª edición),"una plaza, muy antigua, que se encuentra en la zona del centro",latam,0.0,0,0.0
Identificador Enciclopedia Británica Online de Santiago de Chile es,place/Santiago-Chile,un sitio web que ofrece acceso a la Enciclopedia Británica Online,latam,0.0,0,0.0
Historia de Santiago de Chile es,historia de Santiago de Chile,una obra que abarca desde la fundación de la ciudad hasta la,latam,0.11764705882352941,0,0.0
Fundador de Santiago de Chile es,Pedro de Valdivia,"el general José María de la Cruz, ¿verdadero o falso",latam,0.15384615384615383,0,0.0
Fotomontaje de Santiago de Chile es,Montaje de Santiago de Chile (202103220).jpg,una obra que recoge la historia de Santiago de Chile a través de imágenes,latam,0.4,0,0.0
Nombrado en referencia a de Santiago de Chile es,Santiago el Mayor,el nombre del río que atraviesa el centro de la capital ch,latam,0.13333333333333333,0,0.0
Economía del sujeto de Santiago de Chile es,economía de Santiago de Chile,un libro que fue publicado en 1965 por el econom,latam,0.0,0,0.0
Identificador Store norske leksikon de Santiago de Chile es,Santiago_de_Chile,un establecimiento de ventas que se encuentra en la plaza de la Constitución,latam,0.0,0,0.0
Identificador Lex de Santiago de Chile es,Santiago_de_Chile,un proyecto de investigación interdisciplinario que busca investigar y anal,latam,0.0,0,0.0
Lista de interés para el proyecto Wikimedia de Santiago de Chile es,Wikipedia:Lista de artículos que toda Wikipedia debería tener/Expandida,"un espacio que permite a los usuarios de Wikipedia en español de Chile, así",latam,0.2727272727272727,0,0.0
Comparte fronteras con de Santiago de Chile es,Cordón de Chacabuco,"con el país de:

Comparte fronteras con Santiago de Chile",latam,0.15384615384615383,0,0.0
Idioma oficial de Santiago de Chile es,español,"el español. How do you say this in Spanish?
El idioma oficial",latam,0.15384615384615385,1,0.0
Discusión de propuesta de propiedad de identificador Aves de Chile es,https://www.wikidata.org/wiki/Wikidata:Property_proposal/Aves_de_Chile_ID,"un proyecto que se inició en 2016, con el",latam,0.0,0,0.0
Restricción de propiedad de Wikidata de identificador Aves de Chile es,restricción de valor único,: 1265259-7. ¿Qué significa,latam,0.0,0,0.0
Restricción de propiedad de Wikidata de identificador Aves de Chile es,restricción de valor singular,un grupo de aves que se encuentran en Chile. Esta lista incl,latam,0.125,0,0.0
Restricción de propiedad de Wikidata de identificador Aves de Chile es,campo de aplicación,la propiedad de Wikidata que identifica la especie de ave. Por,latam,0.14285714285714288,0,0.0
Restricción de propiedad de Wikidata de identificador Aves de Chile es,restricción de tipo de entidad permitido,la propiedad que se usa para indicar la identificación de la especie,latam,0.1111111111111111,0,0.0
Restricción de propiedad de Wikidata de identificador Aves de Chile es,restricción de clase de sujeto,"una categoría de Wikidata. La categoría está vacía.
Parece",latam,0.14285714285714285,0,0.0
Discusión de propuesta de propiedad de identificador de Reseñas Biográficas de la Biblioteca del Congreso Nacional de Chile es,https://www.wikidata.org/wiki/Wikidata:Property_proposal/Reseñas_Biográficas_(Biblioteca_del_Congreso_Nacional_de_Chile),"una propuesta que se está desarrollando en Chile, donde el objetivo es",latam,0.0,0,0.0
Grado de completitud de identificador de Reseñas Biográficas de la Biblioteca del Congreso Nacional de Chile es,puede llegar a completarse en el futuro,"85%.
Categoría: Identificadores de Rese",latam,0.0,0,0.0
Restricción de propiedad de Wikidata de identificador de Reseñas Biográficas de la Biblioteca del Congreso Nacional de Chile es,restricción de valor singular,: 1000000000000,latam,0.0,0,0.0
Restricción de propiedad de Wikidata de identificador de Reseñas Biográficas de la Biblioteca del Congreso Nacional de Chile es,restricción de valor único,Q36752544. ¿Qué significa esto?,latam,0.0,0,0.0
Restricción de propiedad de Wikidata de identificador de Reseñas Biográficas de la Biblioteca del Congreso Nacional de Chile es,restricción de formato,: http://id.loc.gov/authorities/bibframes/12,latam,0.0,0,0.0
Restricción de propiedad de Wikidata de identificador de Reseñas Biográficas de la Biblioteca del Congreso Nacional de Chile es,restricción de clase de sujeto,"""P156"" o ""P157""? La propiedad",latam,0.0,0,0.0
Restricción de propiedad de Wikidata de identificador de Reseñas Biográficas de la Biblioteca del Congreso Nacional de Chile es,restricción de tipo de entidad permitido,:  ¿Cómo se llama el identificador de reses? La pregunta,latam,0.13333333333333333,0,0.0
Restricción de propiedad de Wikidata de identificador de Reseñas Biográficas de la Biblioteca del Congreso Nacional de Chile es,campo de aplicación,: 1.0.0.0.0.0.0,latam,0.0,0,0.0
Categoría de una propiedad de Wikidata de identificador de Reseñas Biográficas de la Biblioteca del Congreso Nacional de Chile es,Categoría:Páginas usando la propiedad P5442 de Wikidata,el valor de la propiedad P1651. La propiedad P1,latam,0.375,0,0.0
Emitido por de identificador de Reseñas Biográficas de la Biblioteca del Congreso Nacional de Chile es,Biblioteca del Congreso Nacional de Chile,"el 16 de abril de 2021.
The work",latam,0.14285714285714288,0,0.0
Caracterizado por de identificador de Reseñas Biográficas de la Biblioteca del Congreso Nacional de Chile es,título de página MediaWiki,"el primero en la historia del país, el libro fue publicado en",latam,0.0,0,0.0
Valor «­­afirmado en» aplicable de identificador de Reseñas Biográficas de la Biblioteca del Congreso Nacional de Chile es,Reseñas BCN,el siguiente: «El identificador de Reseñas Biográficas de,latam,0.2,0,0.0
Estabilidad del valor de la propiedad de identificador de Reseñas Biográficas de la Biblioteca del Congreso Nacional de Chile es,nunca cambia,"un proyecto que se propone a investigar, a través de los recursos",latam,0.0,0,0.0
Propiedad relacionada de identificador de la Biblioteca Nacional de Chile es,número de catálogo de la Biblioteca Nacional de Chile,la que establece que el identificador de un elemento es único en el,latam,0.18181818181818185,0,0.0
Propiedad relacionada de identificador de la Biblioteca Nacional de Chile es,identificador CCAB,la propiedad de identificador de la Biblioteca Nacional de Chile. La propiedad,latam,0.14285714285714285,0,0.0
Restricción de propiedad de Wikidata de identificador de la Biblioteca Nacional de Chile es,restricción de valor singular,": Q25343179. 

¿Qué significa",latam,0.0,0,0.0
Restricción de propiedad de Wikidata de identificador de la Biblioteca Nacional de Chile es,restricción de valor único,: https://www.wikidata.org/wiki/Q110448,latam,0.0,0,0.0
Restricción de propiedad de Wikidata de identificador de la Biblioteca Nacional de Chile es,restricción de formato,"un [QID] o un [P350]?

En",latam,0.0,0,0.0
Restricción de propiedad de Wikidata de identificador de la Biblioteca Nacional de Chile es,restricción de declaración requerida,: [https://www.wikidata.org/wiki/Q22913,latam,0.0,0,0.0
Restricción de propiedad de Wikidata de identificador de la Biblioteca Nacional de Chile es,restricción de tipo de entidad permitido,: https://www.wikidata.org/wiki/Q159345,latam,0.0,0,0.0
Restricción de propiedad de Wikidata de identificador de la Biblioteca Nacional de Chile es,campo de aplicación,: 1000000000000,latam,0.0,0,0.0
Valor «­­afirmado en» aplicable de identificador de la Biblioteca Nacional de Chile es,Catálogo Colectivo de Autoridades Bibliográficas de Chile,":  ¿Qué significa este mensaje y cómo se soluciona?

El",latam,0.0,0,0.0
Mantenido por el wikiproyecto de identificador de la Biblioteca Nacional de Chile es,Wikiproyecto de control de autoridades,"el sitio web de la Biblioteca Nacional de Chile, que tiene como mis",latam,0.2222222222222222,0,0.0
Emitido por de identificador de la Biblioteca Nacional de Chile es,Biblioteca Nacional de Chile,el número de registro de la obra en el sistema de la Biblioteca Nacional,latam,0.3333333333333333,0,0.0
Moneda de Chile es,peso,"el peso chileno, que se abrevia con la letra """,latam,0.19999999999999998,1,0.0
Moneda de Chile es,escudo,el peso chileno (CLP). La moneda de curso legal,latam,0.0,0,0.0
Categoría de personas relacionadas de Chile es,Categoría:Chilenos,una categoría de la Wikipedia que se usa para agrupar a personas de,latam,0.0,0,0.0
Geografía de Chile es,geografía de Chile,"un tema de interés general, ya que es un país con una gran ext",latam,0.11764705882352941,0,0.0
Cargo ocupado por el jefe de gobierno de Chile es,presidente de Chile,"un cargo que requiere una alta responsabilidad, por lo tanto, se",latam,0.0,0,0.0
Caracterizado por de Chile es,país libre,"un país que se encuentra en el sur de América del Sur, con una",latam,0.125,0,0.0
Relación diplomática de Chile es,Trinidad y Tobago,un concepto que se refiere a la relación entre Chile y otros países,latam,0.125,0,0.0
Relación diplomática de Chile es,El Salvador,un concepto que se refiere a los lazos formales entre dos,latam,0.0,0,0.0
Relación diplomática de Chile es,Francia,un término que se utiliza para referirse a las relaciones entre Chile y otro,latam,0.0,0,0.0
Relación diplomática de Chile es,Estonia,"la relación entre la República de Chile y otros Estados, organizaciones internacionales",latam,0.0,0,0.0
Relación diplomática de Chile es,Croacia,"un tema de actualidad, por lo que se busca que el estudiante",latam,0.0,0,0.0
Relación diplomática de Chile es,España,un concepto que se refiere a la relación entre Chile y otros países,latam,0.0,0,0.0
Relación diplomática de Chile es,República de China,"la relación entre Chile y otro país, que se establece a través de",latam,0.125,0,0.0
Relación diplomática de Chile es,Grecia,una relación diplomática entre el gobierno chileno y otro gobierno. Se,latam,0.0,0,0.0
Relación diplomática de Chile es,República Popular China,un concepto que se refiere al tipo de relación que Chile manti,latam,0.0,0,0.0
Relación diplomática de Chile es,México,"un tema que ha sido muy importante en la historia del país, sobre todo",latam,0.0,0,0.0
Relación diplomática de Chile es,Corea del Norte,una relación de cooperación y alianza entre Chile y otros países o,latam,0.0,0,0.0
Relación diplomática de Chile es,República Checa,"una relación de tipo bilateral, que se establece entre dos estados soberanos",latam,0.0,0,0.0
Órgano legislativo de Chile es,Congreso Nacional de Chile,la __________.  El órgano legislativo de Chile es la,latam,0.30769230769230765,0,0.0
Historia de Chile es,historia de Chile,"la historia del país que hoy se conoce como Chile, en la costa",latam,0.25,0,0.0
Idioma oficial de Chile es,español,"el castellano, pero también se habla otras lenguas como",latam,0.0,0,0.0
Continente de Chile es,América del Sur,un continente o una isla? La pregunta es un poco confusa,latam,0.0,0,0.0
Capital de Chile es,Santiago de Chile,"Santiago, capital de Argentina es Buenos Aires, capital de Paraguay es As",latam,0.26666666666666666,0,0.0
Escudo de armas de Chile es,Escudo de Chile,"un símbolo de la República de Chile, que se representa en el",latam,0.26666666666666666,0,0.0
Gentilicio de Chile es,cilena,":
La palabra que se usa para referirse al habitante de un país",latam,0.0,0,0.0
Lista de interés para el proyecto Wikimedia de Chile es,Wikipedia:Lista de artículos que toda Wikipedia debería tener/Expandida,una lista de intereses que pueden ser usados en el proyecto Wikimedia de,latam,0.1904761904761905,0,0.0
Categoría para las personas que fallecieron aquí de Chile es,Categoría:Fallecidos en Chile,una categoría de Wikipedia que se usa para categorizar a las personas que f,latam,0.0,0,0.0
Categoría principal del tema de Chile es,Categoría:Chile,": Chile
Categoría principal del tema de América Latina es: América",latam,0.0,0,0.0
Jefe de Estado de Chile es,Ricardo Lagos,"el título oficial del Presidente de la República de Chile, que es el",latam,0.0,0,0.0
Jefe de Estado de Chile es,Sebastián Piñera,"el título oficial del mandatario chileno, que corresponde al",latam,0.0,0,0.0
Jefe de Estado de Chile es,Gabriel Boric,"el nombre con que se conoce al presidente de la República de Chile,",latam,0.0,0,0.0
Banco central de Chile es,Banco Central de Chile,"un banco central con sede en Santiago de Chile, la capital del país,",latam,0.47058823529411764,0,0.0
Categoría para las personas enterradas aquí de Chile es,Categoría:Sepultados en Chile,"un país de América del Sur, situado en el océano Pac",latam,0.14285714285714288,0,0.0
Texto del lema de Chile es,Por la razón o la fuerza,"una nación, un pueblo, un proyecto. ¿De dónde viene",latam,0.0,0,0.0
Jefe de gobierno de Chile es,Gabriel Boric,"el encabezado del gobierno de la República de Chile, el cargo fue",latam,0.0,0,0.0
Sentido de circulación de trenes de Chile es,izquierda,un sistema de transporte ferroviario que permite a los trenes circ,latam,0.0,0,0.0
Categoría para las películas rodadas aquí de Chile es,Categoría:Películas rodadas en Chile,un lugar de la Categoría: Películas por país de producción,latam,0.0,0,0.0
Himno de Chile es,Himno Nacional de Chile,"un himno nacional de Chile, que fue adoptado en 18",latam,0.5714285714285715,1,0.0
Cargo ocupado por el jefe de Estado de Chile es,presidente de Chile,"el de ""representante del pueblo"" y ""representante de las instit",latam,0.15384615384615383,0,0.0
Punto más alto de Chile es,Nevado Ojos del Salado,"el cerro de Aconcagua, ¿verdad? No, no",latam,0.0,0,0.0
Categoría para las personas que nacieron aquí de Chile es,Categoría:Nacidos en Chile,una categoría de Wikipedia. En el momento de la escritura de esta página,latam,0.125,0,0.0
Subdividido en (división administrativa) de Chile es,Región de Arica y Parinacota,un término que se refiere a la división territorial en que se divide,latam,0.0,0,0.0
Subdividido en (división administrativa) de Chile es,Región de Tarapacá,una división administrativa que se estableció en el año 19,latam,0.0,0,0.0
Subdividido en (división administrativa) de Chile es,Región de Antofagasta,"un distrito en la comuna de San Antonio, Región Metropol",latam,0.30769230769230765,0,0.0
Subdividido en (división administrativa) de Chile es,Región de Atacama,una división administrativa de segundo nivel. Se estableció en el mar,latam,0.14285714285714288,0,0.0
Subdividido en (división administrativa) de Chile es,Región de Coquimbo,un término que se usa para referirse a las regiones que conforman,latam,0.0,0,0.0
Subdividido en (división administrativa) de Chile es,región de Valparaíso,un término que se aplica a la división territorial de la nación,latam,0.13333333333333333,0,0.0
Subdividido en (división administrativa) de Chile es,Región de O'Higgins,"una subdivisión administrativa de Chile, y su capital es la ciudad de",latam,0.13333333333333333,0,0.0
Subdividido en (división administrativa) de Chile es,Región del Maule,un término que se aplica a las regiones que conforman el país,latam,0.0,0,0.0
Subdividido en (división administrativa) de Chile es,Región del Biobío,"un término que se aplica a las regiones de Chile, que son",latam,0.0,0,0.0
Subdividido en (división administrativa) de Chile es,Región de La Araucanía,"una región en el norte de Chile, con capital en Iquique",latam,0.26666666666666666,0,0.0
Subdividido en (división administrativa) de Chile es,Región de Los Ríos,un término que se usa para referirse a la división territorial de un,latam,0.11764705882352941,0,0.0
Subdividido en (división administrativa) de Chile es,Región de Los Lagos,"un distrito de la Provincia de San Antonio, Región del Bi",latam,0.26666666666666666,0,0.0
Subdividido en (división administrativa) de Chile es,Región de Aysén del General Carlos Ibáñez del Campo,un concepto que se usa para referirse a un tipo de división,latam,0.09523809523809525,0,0.0
Subdividido en (división administrativa) de Chile es,Región de Magallanes y de la Antártica Chilena,un concepto que se refiere a una división territorial que se utiliza,latam,0.0,0,0.0
Subdividido en (división administrativa) de Chile es,Región Metropolitana de Santiago,una subdivisión administrativa de la Región de Valparaíso.,latam,0.3333333333333333,0,0.0
Subdividido en (división administrativa) de Chile es,Región de Ñuble,"un tipo de división administrativa de segundo nivel, que se encuentra deb",latam,0.13333333333333333,0,0.0
Bandera de Chile es,bandera de Chile,"un país de América del Sur, ubicado en la costa sur del oc",latam,0.125,0,0.0
Descrito en la fuente de Chile es,Diccionario Enciclopédico Brockhaus y Efron,"una gran ciudad en el norte de Chile, en la región de Ant",latam,0.0,0,0.0
Descrito en la fuente de Chile es,Pequeño diccionario enciclopédico de Brockhaus y Efron,"un país donde se encuentra el lago más profundo del mundo, el",latam,0.0,0,0.0
Descrito en la fuente de Chile es,Enciclopedia Judía de Brockhaus y Efron,"un país que ha sido afectado por el cambio climático, pero el",latam,0.0,0,0.0
Descrito en la fuente de Chile es,Encyclopædia Britannica (11ª edición),"un país que se encuentra en el sur de América del Sur, limita",latam,0.0,0,0.0
Idioma usado de Chile es,lengua de señas chilena,el mismo que el de Argentina? ¿Cómo se llama el idioma oficial,latam,0.125,0,0.0
Idioma usado de Chile es,español,"el español, pero con un acento y vocabulario distintos.",latam,0.19999999999999998,1,0.0
Nombre en la lengua nativa de Chile es,República de Chile,un nombre propio que se usa para referirse al país chileno en,latam,0.0,0,0.0
Forma de gobierno de Chile es,república democrática,": (2 puntos)  
A) República presidencialista  
B",latam,0.25,0,0.0
Código geográfico de PM20 de Chile es,E85,": 771000

El código geográfico PM",latam,0.0,0,0.0
Economía del sujeto de Chile es,economía de Chile,un proyecto de investigación que se está desarrollando en el Departamento de Ci,latam,0.125,0,0.0
Demografía del elemento de Chile es,demografía de Chile,un término que se usa en Chile para referirse a la población de la,latam,0.23529411764705882,0,0.0
Encyclopedia of Korean Culture ID de Chile es,E0058462,"de 1928, y está ubicada en la región de",latam,0.0,0,0.0
Imagen de Chile es,Macizo Paine al Amanecer Torres del Paine.jpg,un proyecto de la Universidad de Chile que busca recopilar y exhibir,latam,0.0,0,0.0
Imagen de Chile es,"Duna Mayor, Valle de la Luna, San Pedro de Atacama, Chile, 2016-02-01, DD 164.JPG",un proyecto que busca documentar la diversidad de Chile desde diferentes perspect,latam,0.23076923076923075,0,0.0
Evento significativo de Chile es,Independencia de Chile,"el 27 de Mayo de 1973, ¿qué",latam,0.2,0,0.0
Precedido por de Chile es,Capitanía General de Chile,un término que se usa en el ámbito del derecho y la política para refer,latam,0.0,0,0.0
Most populous urban area de Chile es,Santiago de Chile,"una ciudad que se encuentra en el norte de Chile, en el departamento",latam,0.25,0,0.0
Presentador de Algo habrán hecho por la historia de Chile es,Francisco Melo,"un programa de entretenimiento, cultura y política, producido por el",latam,0.0,0,0.0
